Read 1	Read 2	Accession Number
CUTnTag_TX1072_XXdXic_H3K4me1_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me1_d2_r1_2.fastq	GSM5102677
CUTnTag_TX1072_XXdXic_H3K4me1_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me1_d2_r2_2.fastq	GSM5102678
CUTnTag_TX1072_XXdXic_H3K9me3_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K9me3_d2_r1_2.fastq	GSM5102679
CUTnTag_TX1072_XXdXic_H3K9me3_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K9me3_d2_r2_2.fastq	GSM5102680
CUTnTag_TX1072_XXdXic_H3K27me3_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K27me3_d2_r1_2.fastq	GSM5102681
CUTnTag_TX1072_XXdXic_H3K27me3_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K27me3_d2_r2_2.fastq	GSM5102682
CUTnTag_TX1072_XXdXic_H3K36me3_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K36me3_d2_r1_2.fastq	GSM5102683
CUTnTag_TX1072_XXdXic_H3K36me3_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K36me3_d2_r2_2.fastq	GSM5102684
CUTnTag_TX1072_XXdXic_H2AK119ub_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H2AK119ub_d2_r1_2.fastq	GSM5102685
CUTnTag_TX1072_XXdXic_H2AK119ub_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H2AK119ub_d2_r2_2.fastq	GSM5102686
CUTnTag_TX1072_XXdXic_IgG_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_IgG_d2_r1_2.fastq	GSM5102687
