run_accession sra_ftp
ERR1041893 E5.43.3364.fastq
ERR1041894 E5.43.3365.fastq
ERR1041895 E5.5.100.fastq
ERR1041896 E5.5.101.fastq
ERR1041897 E5.5.91.fastq
ERR1041898 E5.5.92.fastq
ERR1041899 E5.5.93.fastq
ERR1041900 E5.5.94.fastq
ERR1041901 E5.5.95.fastq
ERR1041902 E5.5.96.fastq
ERR1041903 E5.5.97.fastq
ERR1041904 E5.5.98.fastq
ERR1041905 E5.5.99.fastq
ERR1041906 E5.6.360.fastq
ERR1041907 E5.6.361.fastq
ERR1041908 E5.6.362.fastq
ERR1041909 E5.6.363.fastq
ERR1041910 E5.6.364.fastq
ERR1041911 E5.6.365.fastq
ERR1041912 E5.6.368.fastq
ERR1041913 E5.6.369.fastq
ERR1041914 E5.6.371.fastq
ERR1041915 E5.6.372.fastq
ERR1041916 E5.6.373.fastq
ERR1041917 E5.6.375.fastq
ERR1041918 E5.6.379.fastq
ERR1041919 E5.6.382.fastq
ERR1041920 E5.7.674.fastq
ERR1041921 E5.7.675.fastq
ERR1041922 E5.7.676.fastq
ERR1041923 E5.7.677.fastq
ERR1041924 E5.7.678.fastq
ERR1041925 E5.7.679.fastq
ERR1041926 E5.7.680.fastq
ERR1041927 E5.7.681.fastq
ERR1041928 E5.7.682.fastq
ERR1041929 E5.7.683.fastq
ERR1041930 E5.7.684.fastq
ERR1041931 E5.7.685.fastq
ERR1041932 E5.7.686.fastq
ERR1041933 E5.7.687.fastq
ERR1041934 E5.7.688.fastq
ERR1041935 E5.7.689.fastq
ERR1041936 E5.7.690.fastq
ERR1041937 E5.7.691.fastq
ERR1041938 E5.7.692.fastq
ERR1041939 E5.7.693.fastq
ERR1041940 E5.7.694.fastq
ERR1041941 E5.7.695.fastq
ERR1041942 E5.7.696.fastq
ERR1041943 E5.7.697.fastq
ERR1041944 E5.7.698.fastq
ERR1041945 E5.7.700.fastq
ERR1041946 E5.7.701.fastq
ERR1041947 E5.7.702.fastq
ERR1041948 E5.7.703.fastq
ERR1041949 E5.7.704.fastq
ERR1041950 E5.7.705.fastq
ERR1041951 E5.7.706.fastq
ERR1041952 E5.8.915.fastq
ERR1041953 E5.8.916.fastq
ERR1041954 E5.8.918.fastq
